Day,AnemoneID,Buoyant weight (g),Species,Net dry weight (g),Net ashed weight (g),Faeces Ash Free Dry Mass (g),Season,Year,Month,Ash Free Dry Mass of feaces (g) per (g) of Buoyant Weight,AnemoneAFDM (g),Ash Free Dry Mass faecesper (g) Ash Free Dry Mass,Boxcox
5,Y16,0.990057661,Urticinopsis antarctica,0.0165,0.0113,0.0052,Winter,2023,September,0.004987107,4.863245476,0.001025469,14.16040442
5,Y10,1.327920422,Urticinopsis antarctica,0.8116,0.7271,0.0845,Winter,2023,September,0.05769034,6.465660976,0.008922574,4.163402999
5,Y12,1.691655808,Urticinopsis antarctica,3.7726,3.2181,0.5545,Winter,2023,September,0.288943208,8.190785164,0.035276619,1.860346129
5,G2,0.876104311,Isotealia antarctica,0.0106,0.0063,0.0043,Winter,2023,September,0.004775929,4.322787527,0.001104826,14.47008456
5,Y11,1.807601482,Isotealia antarctica,0.0078,0.0051,0.0027,Winter,2023,September,0.001308209,8.740692308,0.000149669,27.6478544
6,Y16,0.990057661,Urticinopsis antarctica,0.1925,0.1416,0.0509,Winter,2023,September,0.048816102,4.863245476,0.010037762,4.52604066
6,Y7,1.455211129,Urticinopsis antarctica,0.0177,0.0138,0.0039,Winter,2023,September,0.002401897,7.069375345,0.000339761,20.40435215
6,G3,1.644920906,Isotealia antarctica,0.0435,0.0332,0.0103,Winter,2023,September,0.005535595,7.969130874,0.00069463,13.44057491
6,Y12,1.691655808,Urticinopsis antarctica,0.0152,0.0097,0.0055,Winter,2023,September,0.002865983,8.190785164,0.000349903,18.67941174
6,Y11,1.807601482,Isotealia antarctica,0.0162,0.0123,0.0039,Winter,2023,September,0.001889635,8.740692308,0.000216188,23.00440674
6,G1,0.607017998,Urticinopsis antarctica,0.0119,0.0092,0.0027,Winter,2023,September,0.004785283,3.046564959,0.001570714,14.45593499
